pH,Soil EC (dS/m),Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm),Moisture (%),Temperature (°C),Crop
6.2,1.64,92.9,44.44,150.64,52.3,20.17,Carrot
6.37,1.1,82.63,40.08,225.53,69.86,19.26,Carrot
6.78,2.18,54.01,45.32,267.69,73.35,23.67,Carrot
6.01,1.08,91.74,53.07,247.93,79.22,19.24,Carrot
6.51,1.61,69.88,40.12,262.71,75.95,22.01,Carrot
6.03,1.57,88.13,42.16,151.28,55.25,16.7,Carrot
6.68,1.46,91.53,53.01,224.98,61.52,17.31,Carrot
6.43,1.93,84.8,58.95,261.1,74.94,22.67,Carrot
6.6,2.19,70.78,43.45,203.37,75.12,19.5,Carrot
6.11,1.74,68.25,39.53,160.94,65.4,18.6,Carrot
6.0,1.58,66.34,55.97,265.11,52.33,19.75,Carrot
6.03,1.56,50.15,38.97,237.01,57.59,20.66,Carrot
6.59,1.15,92.59,39.45,239.52,71.77,18.32,Carrot
6.76,2.13,82.89,46.22,294.91,74.61,16.6,Carrot
6.57,1.57,63.85,52.04,196.15,65.07,17.83,Carrot
6.79,1.4,64.92,53.44,170.25,57.04,21.12,Carrot
6.54,1.54,76.82,39.89,186.71,73.24,16.52,Carrot
6.74,1.63,80.49,53.84,206.87,76.72,18.06,Carrot
6.5,1.28,51.26,50.22,259.99,60.53,22.29,Carrot
6.16,2.03,71.04,33.04,240.91,73.32,23.52,Carrot
6.55,2.48,70.46,40.91,202.7,63.99,20.14,Carrot
6.74,1.07,73.57,55.92,221.17,72.38,16.79,Carrot
6.66,1.7,69.53,32.39,249.03,59.32,19.85,Carrot
6.05,2.17,92.42,55.66,229.49,65.34,16.33,Carrot
6.63,2.23,79.85,54.42,292.69,69.96,16.97,Carrot
6.17,2.43,81.07,39.52,182.08,59.31,20.65,Carrot
6.39,1.02,51.22,51.22,202.95,60.07,23.5,Carrot
6.36,1.69,67.77,50.09,175.5,54.13,22.69,Carrot
6.78,1.57,68.61,41.27,284.82,54.08,17.84,Carrot
6.54,2.22,58.94,57.96,226.8,70.92,19.39,Carrot
6.45,2.02,93.89,35.06,231.99,58.46,22.69,Carrot
6.08,1.77,74.63,51.27,221.89,65.77,16.13,Carrot
6.77,1.67,57.63,50.74,177.3,69.17,16.52,Carrot
6.04,2.41,54.48,58.16,230.22,73.87,21.58,Carrot
6.6,1.74,81.22,35.64,181.78,77.08,17.72,Carrot
6.72,1.67,81.23,54.97,150.14,61.76,22.95,Carrot
6.28,2.46,88.19,53.37,163.41,68.91,16.43,Carrot
6.4,1.93,76.73,41.66,214.33,76.01,16.52,Carrot
6.09,1.93,73.25,32.36,287.24,50.0,21.37,Carrot
6.64,1.85,62.03,49.66,167.13,74.06,20.48,Carrot
6.23,2.37,92.22,37.73,257.0,55.66,22.84,Carrot
6.5,1.36,91.81,50.46,155.27,50.21,19.33,Carrot
6.15,2.04,54.41,45.72,259.27,53.07,18.88,Carrot
6.71,2.11,74.72,43.51,282.67,75.79,17.59,Carrot
6.11,2.41,70.88,56.46,188.22,74.6,22.63,Carrot
6.02,1.71,79.12,49.71,168.86,78.48,18.17,Carrot
6.71,1.18,63.59,57.57,190.14,61.29,21.45,Carrot
6.16,2.08,87.85,35.56,155.4,78.59,18.1,Carrot
6.19,1.1,83.08,32.49,172.16,64.87,21.76,Carrot
6.25,2.2,97.31,50.49,179.84,73.33,21.82,Carrot
6.36,1.85,74.1,56.24,189.44,67.92,18.85,Carrot
6.32,1.97,82.59,33.79,164.55,62.05,19.83,Carrot
6.57,1.76,61.93,52.71,190.94,78.14,19.69,Carrot
6.65,2.41,84.29,35.93,204.53,57.64,16.28,Carrot
6.65,1.24,76.97,52.79,154.82,60.07,17.91,Carrot
6.39,1.55,89.06,33.66,264.86,69.24,16.14,Carrot
6.74,1.31,96.0,55.24,163.89,56.99,23.14,Carrot
6.26,2.43,96.72,55.24,251.16,58.64,23.34,Carrot
6.02,1.81,74.49,54.12,188.2,67.02,19.27,Carrot
6.34,1.4,67.24,44.43,291.27,51.39,19.57,Carrot
6.62,2.42,65.82,42.25,176.0,67.59,22.61,Carrot
6.28,1.28,56.97,36.56,185.33,66.81,20.73,Carrot
6.21,1.3,50.81,42.96,284.04,71.68,16.96,Carrot
6.08,1.18,98.96,53.04,249.41,70.91,23.72,Carrot
6.32,2.04,97.12,56.46,295.41,57.28,17.91,Carrot
6.36,1.98,86.37,36.0,185.45,53.29,17.09,Carrot
6.78,1.47,92.69,41.42,244.07,53.71,18.2,Carrot
6.29,1.7,60.42,58.77,296.47,61.18,19.11,Carrot
6.7,1.11,88.33,58.2,264.76,50.65,18.12,Carrot
6.69,1.03,83.55,57.72,229.71,60.79,18.24,Carrot
6.73,1.52,84.24,47.02,197.01,77.13,18.23,Carrot
6.15,2.42,82.54,52.8,254.52,59.67,19.92,Carrot
6.19,2.1,88.29,30.76,191.81,78.9,20.63,Carrot
6.21,1.44,75.24,50.3,177.28,65.68,21.23,Carrot
6.07,2.13,88.85,56.34,237.73,72.6,19.05,Carrot
6.22,1.64,67.27,43.61,260.03,65.85,16.57,Carrot
6.13,2.19,83.99,48.26,172.33,72.97,18.81,Carrot
6.78,1.77,94.83,30.09,230.52,54.27,17.43,Carrot
6.06,1.56,62.32,32.22,176.59,57.22,18.25,Carrot
6.04,1.28,90.91,33.75,178.87,73.68,16.02,Carrot
6.05,1.0,74.93,31.17,295.12,65.24,21.57,Carrot
6.56,1.7,87.37,31.9,216.59,52.03,23.55,Carrot
6.49,2.36,86.73,37.11,193.26,75.9,23.7,Carrot
6.26,1.0,93.15,40.13,158.33,66.87,19.67,Carrot
6.07,1.27,80.13,52.44,160.61,56.79,23.31,Carrot
6.8,1.18,79.29,31.99,251.83,58.83,18.09,Carrot
6.61,1.01,73.23,30.03,297.93,54.34,23.78,Carrot
6.11,1.1,66.67,45.91,233.75,59.74,22.85,Carrot
6.34,1.1,76.03,45.35,196.98,76.06,19.45,Carrot
6.06,2.21,58.64,56.17,240.2,60.66,17.67,Carrot
6.07,1.03,94.68,45.01,294.97,77.72,21.67,Carrot
6.64,1.98,96.69,41.72,207.13,63.59,19.58,Carrot
6.59,2.37,89.37,46.11,225.98,55.44,20.46,Carrot
6.05,1.34,98.28,31.74,274.56,79.71,20.38,Carrot
6.79,2.45,55.6,46.18,254.59,69.28,23.41,Carrot
6.64,2.1,64.79,41.68,226.49,54.92,20.58,Carrot
6.17,1.39,67.46,55.75,246.1,57.92,19.47,Carrot
6.65,1.43,76.8,56.37,255.35,61.04,18.65,Carrot
6.38,1.56,61.87,39.62,271.19,68.87,21.62,Carrot
6.4,1.97,66.38,57.31,183.9,67.33,19.12,Carrot
6.76,2.04,73.45,34.42,165.46,54.96,21.42,Carrot
6.69,1.33,54.61,41.44,268.89,69.36,20.68,Carrot
6.51,1.66,85.79,50.57,225.24,58.57,21.39,Carrot
6.41,2.25,78.03,34.64,168.39,75.8,22.35,Carrot
6.16,1.78,57.91,53.9,265.04,53.95,17.51,Carrot
6.07,1.17,73.55,38.78,293.65,65.67,23.31,Carrot
6.72,2.04,70.82,40.68,150.23,56.17,18.89,Carrot
6.13,1.52,91.43,58.8,264.81,71.74,23.11,Carrot
6.03,1.89,66.08,59.21,204.33,66.14,17.86,Carrot
6.16,1.43,64.18,45.77,227.85,71.87,20.67,Carrot
6.41,1.5,75.88,33.99,156.4,58.97,19.31,Carrot
6.77,2.38,57.01,59.81,157.0,50.51,17.24,Carrot
6.65,1.8,69.92,33.83,286.24,76.17,18.55,Carrot
6.36,1.55,66.89,31.34,245.34,52.19,22.84,Carrot
6.75,1.05,87.39,54.91,268.86,68.06,16.61,Carrot
6.66,1.66,84.89,52.92,161.24,59.75,20.7,Carrot
6.08,1.12,81.98,40.99,173.89,56.38,22.45,Carrot
6.57,1.05,83.2,57.86,289.81,55.35,16.02,Carrot
6.3,1.76,73.18,35.27,194.38,70.83,20.83,Carrot
6.63,1.03,70.01,47.29,293.84,55.26,17.31,Carrot
6.55,1.32,53.23,39.76,256.78,64.7,20.72,Carrot
6.67,2.3,52.98,58.04,162.06,69.98,20.44,Carrot
6.72,1.37,59.83,54.01,161.44,70.62,21.77,Carrot
6.8,1.73,98.46,44.15,178.66,59.81,16.69,Carrot
6.29,1.38,51.36,57.19,225.82,62.78,18.7,Carrot
6.63,1.32,78.62,36.62,196.57,53.61,21.67,Carrot
6.33,1.09,85.62,51.02,168.28,67.58,18.06,Carrot
6.01,2.49,62.59,52.67,154.39,55.29,17.59,Carrot
6.68,1.62,71.35,42.87,247.93,72.87,20.76,Carrot
6.6,1.99,95.62,34.57,215.31,78.53,16.11,Carrot
6.15,1.13,87.35,36.87,273.48,50.14,18.72,Carrot
6.5,2.25,55.42,34.33,155.88,57.23,23.55,Carrot
6.32,1.11,66.08,31.04,222.16,54.14,21.17,Carrot
6.8,2.08,64.59,37.0,247.64,75.57,23.05,Carrot
6.24,1.92,85.01,48.19,152.96,57.11,22.87,Carrot
6.0,1.66,75.21,32.74,180.41,71.77,23.98,Carrot
6.15,1.52,59.1,42.77,264.51,65.33,22.77,Carrot
6.59,1.99,51.77,35.93,236.46,63.35,22.34,Carrot
6.58,2.46,69.89,46.66,279.27,64.41,16.25,Carrot
6.55,2.19,93.52,57.68,152.8,51.57,17.28,Carrot
6.53,1.67,81.86,51.97,192.69,59.41,22.85,Carrot
6.46,2.06,57.56,48.91,285.83,65.09,16.32,Carrot
6.11,1.87,82.51,48.11,172.3,72.15,16.06,Carrot
6.44,2.36,86.38,59.65,190.43,56.5,16.65,Carrot
6.01,1.48,89.09,54.38,284.3,71.32,23.6,Carrot
6.06,1.08,54.91,38.25,214.78,70.94,20.59,Carrot
6.71,1.11,79.9,47.91,151.49,72.96,20.01,Carrot
6.71,1.7,89.94,35.13,236.76,76.37,23.03,Carrot
6.59,1.31,50.35,43.99,155.81,77.52,21.63,Carrot
6.45,1.38,57.62,51.95,279.59,67.05,17.46,Carrot
6.74,1.28,79.1,32.99,158.09,76.29,23.45,Carrot
6.04,1.1,57.23,33.99,277.87,68.19,23.85,Carrot
6.56,1.6,81.06,36.13,204.46,74.04,23.96,Carrot
6.67,2.17,64.1,35.48,161.27,58.91,17.15,Carrot
6.1,1.05,76.45,52.69,208.17,73.33,17.7,Carrot
6.67,1.05,75.64,46.6,218.39,51.56,20.35,Carrot
6.45,1.81,70.03,58.79,276.11,61.17,21.89,Carrot
6.43,2.29,77.22,54.22,169.92,69.64,16.49,Carrot
6.64,1.42,98.41,55.17,156.83,54.64,22.75,Carrot
6.36,1.9,92.08,58.54,198.03,66.45,19.38,Carrot
6.18,1.28,96.75,49.71,233.44,50.47,22.64,Carrot
6.21,1.08,85.17,54.12,204.2,52.3,19.59,Carrot
6.44,1.61,65.08,51.86,204.55,53.07,17.0,Carrot
6.33,1.97,72.55,30.3,292.07,72.32,19.42,Carrot
6.54,2.09,51.33,33.28,283.35,53.31,18.27,Carrot
6.09,1.69,65.32,47.98,153.77,79.7,21.62,Carrot
6.4,1.18,51.41,48.24,201.59,67.64,21.75,Carrot
6.71,1.94,77.06,52.98,244.94,60.84,16.54,Carrot
6.63,1.86,74.26,50.31,260.25,50.02,18.39,Carrot
6.38,1.38,61.05,31.11,224.79,52.56,17.79,Carrot
6.64,1.06,81.18,35.29,169.37,51.0,22.36,Carrot
6.59,2.03,97.25,38.64,155.21,75.09,18.9,Carrot
6.55,1.42,83.13,44.89,296.52,72.83,17.65,Carrot
6.44,1.46,54.38,53.16,224.88,74.3,23.37,Carrot
6.36,1.63,58.59,56.76,246.08,64.45,17.21,Carrot
6.22,1.69,60.69,57.05,221.75,57.29,22.22,Carrot
6.55,2.31,83.16,35.57,231.61,56.83,22.23,Carrot
6.04,1.92,87.71,54.05,212.31,70.88,20.69,Carrot
6.52,1.8,89.61,42.42,180.63,54.42,17.4,Carrot
6.49,1.74,77.01,38.99,258.45,70.23,23.68,Carrot
6.31,1.3,55.85,43.57,210.7,77.15,18.05,Carrot
6.58,1.93,55.11,53.04,179.65,78.14,23.79,Carrot
6.18,1.56,76.72,47.16,157.05,58.41,16.2,Carrot
6.36,1.15,56.2,52.39,296.19,69.74,17.93,Carrot
6.12,2.31,89.54,43.77,207.93,76.27,22.04,Carrot
6.04,1.17,88.06,38.92,221.68,78.2,16.64,Carrot
6.53,1.75,73.7,48.82,181.46,55.94,17.43,Carrot
6.79,1.26,98.98,39.61,161.68,74.04,20.67,Carrot
6.3,2.45,74.23,54.21,277.6,64.31,20.03,Carrot
6.48,1.99,88.08,45.68,272.13,61.01,23.16,Carrot
6.45,1.47,68.58,41.48,186.91,63.53,23.39,Carrot
6.54,2.06,68.07,59.44,223.94,60.18,17.61,Carrot
6.58,2.43,91.88,35.88,293.77,75.56,17.81,Carrot
6.18,1.37,68.4,32.4,189.56,52.34,18.46,Carrot
6.1,1.42,81.01,53.4,224.12,57.09,19.33,Carrot
6.51,2.36,83.62,41.55,229.61,57.52,22.82,Carrot
6.62,1.54,60.24,54.67,260.93,52.88,22.74,Carrot
6.45,2.42,94.33,55.06,284.88,78.54,21.25,Carrot
6.52,2.39,68.47,31.64,240.48,59.38,16.78,Carrot
6.41,1.22,52.9,32.07,214.91,58.51,22.28,Carrot
6.3,2.49,50.89,40.61,286.71,69.06,17.0,Carrot
6.76,1.1,99.8,31.61,169.68,71.48,20.81,Carrot
6.04,2.17,76.51,51.82,204.7,61.9,19.33,Carrot
6.48,1.86,73.78,47.42,154.98,67.09,18.14,Carrot
6.14,1.64,82.06,38.02,284.5,79.98,21.51,Carrot
6.39,1.16,54.56,50.69,276.15,52.22,22.68,Carrot
6.66,1.35,57.02,35.2,212.26,68.55,19.86,Carrot
6.46,1.26,64.6,52.82,247.16,79.23,23.55,Carrot
6.55,1.2,70.97,41.5,179.14,72.67,21.65,Carrot
6.58,1.32,77.97,57.12,207.18,58.0,21.06,Carrot
6.58,2.32,68.84,32.99,266.9,74.88,23.32,Carrot
6.58,1.44,59.4,41.8,182.48,66.62,16.39,Carrot
6.58,1.39,76.14,38.89,217.29,67.5,20.79,Carrot
6.41,2.01,92.49,49.97,246.29,72.13,22.17,Carrot
6.77,2.12,61.74,38.9,294.24,76.4,23.86,Carrot
6.2,2.28,55.61,36.86,280.06,71.03,20.63,Carrot
6.44,2.46,56.65,36.89,156.83,75.58,19.93,Carrot
6.56,1.8,55.93,50.1,263.39,56.91,16.15,Carrot
6.58,1.11,72.45,59.86,263.41,55.34,16.53,Carrot
6.39,1.07,70.33,45.14,289.16,65.48,20.45,Carrot
6.48,2.35,55.76,43.4,224.96,78.14,16.35,Carrot
6.7,1.37,97.02,33.97,219.48,64.98,18.91,Carrot
6.25,2.14,98.58,38.26,172.96,63.3,23.46,Carrot
6.6,1.31,65.44,37.83,218.44,69.58,16.15,Carrot
6.41,1.91,73.1,41.57,282.11,56.02,18.74,Carrot
6.35,1.9,77.81,39.9,218.56,55.4,18.58,Carrot
6.46,2.47,91.92,57.89,280.01,70.21,20.88,Carrot
6.62,2.03,72.28,44.71,228.87,54.59,19.6,Carrot
6.54,1.05,55.39,32.93,198.5,51.51,20.77,Carrot
6.38,2.09,66.88,52.77,279.52,52.82,22.17,Carrot
6.05,1.74,55.65,37.77,179.87,62.5,20.5,Carrot
6.4,1.53,65.71,34.14,196.37,74.48,21.53,Carrot
6.41,1.82,94.55,37.96,183.35,63.71,18.55,Carrot
6.66,1.5,66.04,57.05,203.62,53.93,18.75,Carrot
6.37,1.36,94.95,31.02,214.82,76.33,21.02,Carrot
6.66,2.46,69.66,47.41,183.71,54.57,16.51,Carrot
6.53,1.77,78.66,39.51,289.47,74.43,22.18,Carrot
6.45,1.67,77.01,36.87,251.53,65.9,20.64,Carrot
6.54,1.57,54.96,48.73,194.24,70.52,16.91,Carrot
6.34,1.66,86.29,56.49,175.94,70.0,20.63,Carrot
6.02,2.5,57.63,56.67,256.38,63.88,16.12,Carrot
6.14,1.35,76.7,52.36,199.52,77.54,17.36,Carrot
6.3,2.36,87.66,50.43,179.07,65.38,22.12,Carrot
6.6,2.48,87.02,30.17,291.54,68.78,23.99,Carrot
6.77,1.37,84.44,34.46,263.58,74.37,17.84,Carrot
6.72,2.22,97.73,30.87,253.68,68.34,23.07,Carrot
6.77,1.98,84.52,41.15,272.51,57.93,16.58,Carrot
6.4,1.15,56.36,42.46,249.97,72.89,22.91,Carrot
6.16,1.64,67.88,34.1,164.42,73.37,16.47,Carrot
6.58,1.67,99.32,38.35,172.84,51.52,16.92,Carrot
6.21,1.85,93.79,58.25,173.67,75.56,18.91,Carrot
6.64,1.0,99.49,48.96,202.72,74.81,18.43,Carrot
6.63,2.26,92.86,31.82,287.22,65.5,16.72,Carrot
6.27,1.58,98.65,59.82,205.84,58.61,21.49,Carrot
6.56,1.19,92.57,49.38,154.11,62.92,21.05,Carrot
6.71,2.29,62.82,51.45,207.75,72.0,21.29,Carrot
6.72,1.37,55.86,36.83,207.11,69.65,22.76,Carrot
6.07,1.48,90.64,51.47,279.31,50.01,18.79,Carrot
6.4,1.33,91.95,47.49,203.88,60.11,21.05,Carrot
6.66,1.35,90.0,45.28,286.74,50.05,23.36,Carrot
6.64,1.23,75.3,42.87,280.34,60.5,16.62,Carrot
6.13,1.09,95.75,33.07,286.82,51.08,23.93,Carrot
6.57,1.41,93.7,43.37,242.4,78.43,23.49,Carrot
6.42,2.4,60.7,46.06,211.69,71.41,18.08,Carrot
6.57,2.26,83.49,35.66,151.32,76.48,22.93,Carrot
6.18,1.0,93.26,47.68,240.44,68.36,17.77,Carrot
6.33,1.57,80.75,57.42,245.2,76.56,22.21,Carrot
6.58,1.1,94.62,55.85,250.7,58.27,21.6,Carrot
6.27,1.46,93.15,52.82,290.22,56.66,18.65,Carrot
6.0,1.76,66.92,48.81,155.45,78.07,18.26,Carrot
6.45,2.46,53.19,32.0,200.06,66.67,18.28,Carrot
6.64,2.27,95.15,40.87,279.93,61.86,17.59,Carrot
6.74,1.85,72.49,49.19,245.42,62.69,22.22,Carrot
6.74,1.67,74.55,50.14,171.54,54.71,23.64,Carrot
6.66,1.47,61.67,38.42,297.25,54.54,22.64,Carrot
6.5,2.05,78.31,36.37,213.54,66.84,22.77,Carrot
6.48,1.7,82.33,51.19,250.9,56.58,17.71,Carrot
6.52,2.1,63.78,32.78,247.54,67.75,23.94,Carrot
6.54,1.9,83.63,41.97,216.72,52.26,21.2,Carrot
6.56,2.22,95.0,48.02,181.43,60.8,18.39,Carrot
6.35,2.43,90.67,31.23,289.74,79.92,22.55,Carrot
6.42,1.96,78.72,33.92,247.01,64.92,17.37,Carrot
6.66,2.34,54.74,36.78,258.62,70.77,18.09,Carrot
6.15,2.35,91.71,34.03,157.77,58.16,16.63,Carrot
6.53,1.08,93.65,37.82,154.63,66.43,17.46,Carrot
6.79,1.05,63.0,51.81,159.37,56.95,19.42,Carrot
6.62,1.32,78.01,44.72,197.64,72.36,17.89,Carrot
6.25,2.14,75.07,40.95,298.43,57.58,19.49,Carrot
6.61,1.33,94.11,54.83,278.94,68.61,19.62,Carrot
6.42,2.07,65.46,55.92,186.16,61.82,18.63,Carrot
6.62,1.22,93.06,34.51,238.98,76.58,22.92,Carrot
6.52,1.03,57.82,47.2,160.86,51.71,18.55,Carrot
6.69,1.14,67.21,57.16,251.17,65.44,20.93,Carrot
6.27,1.8,99.38,45.08,273.01,63.86,23.83,Carrot
6.55,2.48,79.56,59.7,196.75,69.74,20.65,Carrot
6.36,2.46,92.58,48.22,172.7,69.02,22.37,Carrot
6.77,1.67,61.3,58.78,285.13,79.18,16.86,Carrot
6.63,1.97,62.96,55.0,247.06,57.14,23.72,Carrot
6.79,2.43,72.28,48.87,263.43,61.79,19.78,Carrot
6.49,1.92,60.61,41.79,186.9,75.61,18.39,Carrot
6.47,2.27,58.51,49.16,154.1,51.82,22.15,Carrot
6.1,1.31,56.98,40.53,243.95,52.41,21.99,Carrot
6.53,1.62,61.97,37.49,250.43,58.46,18.46,Carrot
6.69,2.25,52.69,46.74,242.53,58.2,21.57,Carrot
6.79,2.26,89.16,41.06,225.92,78.55,23.02,Carrot
6.43,2.25,96.02,40.14,297.8,67.75,16.07,Carrot
6.47,1.03,88.35,32.47,154.33,76.16,22.61,Carrot
6.25,2.23,90.7,33.73,228.54,75.92,22.56,Carrot
6.0,2.39,90.84,58.62,199.35,51.31,22.58,Carrot
6.04,1.61,75.36,39.17,156.23,77.55,17.62,Carrot
6.37,1.28,73.16,35.39,164.97,66.73,19.67,Carrot
6.29,1.5,73.4,54.58,186.85,54.42,19.31,Carrot
6.16,2.46,73.12,39.32,169.84,72.16,20.16,Carrot
6.29,2.21,66.15,49.1,245.3,71.14,23.24,Carrot
6.48,1.22,70.45,50.52,151.62,64.76,21.41,Carrot
6.22,1.05,72.7,53.12,294.89,54.39,21.8,Carrot
6.39,1.98,75.71,33.86,262.85,57.23,21.27,Carrot
6.73,1.62,87.67,53.31,270.77,79.62,21.65,Carrot
6.56,2.1,52.95,39.11,218.48,72.99,16.39,Carrot
6.34,2.23,98.82,42.76,292.01,70.79,20.28,Carrot
6.21,1.01,90.11,34.46,195.57,72.24,16.91,Carrot
6.17,1.93,51.36,46.02,250.47,67.26,19.81,Carrot
6.41,2.33,60.28,59.68,160.22,54.48,21.78,Carrot
6.2,1.98,82.59,47.39,282.28,62.54,16.09,Carrot
6.63,1.52,68.31,51.45,224.02,54.94,18.12,Carrot
6.05,1.16,70.79,48.33,184.61,55.07,20.71,Carrot
6.29,1.4,52.34,53.9,184.88,57.82,22.56,Carrot
6.3,1.01,90.46,48.88,180.61,79.92,20.83,Carrot
6.55,1.05,96.56,33.66,222.47,53.05,22.84,Carrot
6.75,2.12,60.85,44.68,189.29,71.19,17.85,Carrot
6.39,1.4,99.0,41.89,296.25,78.64,22.81,Carrot
6.28,1.42,71.04,56.08,242.01,74.87,18.59,Carrot
6.74,1.59,99.26,53.63,162.68,66.42,17.54,Carrot
6.1,2.1,93.43,56.21,235.76,54.42,21.57,Carrot
6.58,1.34,62.09,39.55,296.93,72.14,16.86,Carrot
6.04,1.65,99.23,54.32,184.35,56.44,17.52,Carrot
6.27,1.9,97.72,37.34,281.8,50.94,22.05,Carrot
6.47,1.12,77.44,32.85,160.42,50.61,21.76,Carrot
6.24,1.57,80.21,48.67,157.02,69.07,22.34,Carrot
6.54,1.3,90.86,52.76,290.02,53.19,21.39,Carrot
6.31,2.44,57.8,42.1,186.15,55.51,17.56,Carrot
6.01,2.14,86.53,48.19,156.52,53.49,19.94,Carrot
6.18,2.15,74.94,37.43,204.59,56.28,16.12,Carrot
6.57,1.77,51.48,34.03,256.6,75.78,20.9,Carrot
6.65,1.88,67.87,58.32,197.16,62.13,21.19,Carrot
6.7,1.96,89.05,33.72,282.5,60.66,17.52,Carrot
6.06,2.29,75.62,42.62,155.05,55.26,17.99,Carrot
6.68,1.47,84.99,59.83,289.95,64.29,17.88,Carrot
6.42,1.22,70.1,54.73,183.31,66.08,19.74,Carrot
6.4,1.42,59.43,47.56,176.71,58.14,21.64,Carrot
6.45,2.29,54.94,40.74,217.54,64.79,22.1,Carrot
6.52,2.4,54.25,51.96,281.82,66.78,19.56,Carrot
6.64,1.39,92.24,55.47,229.52,76.28,19.89,Carrot
6.21,1.2,92.29,40.22,190.87,55.27,19.33,Carrot
6.13,1.41,72.13,36.69,244.17,50.58,19.37,Carrot
6.34,1.3,95.64,55.64,277.11,63.34,22.26,Carrot
6.19,1.6,92.94,42.62,258.14,52.18,20.29,Carrot
6.49,1.53,76.7,46.24,190.35,61.86,21.91,Carrot
6.77,1.96,50.24,35.13,226.14,53.75,19.28,Carrot
6.22,1.67,60.75,48.36,276.37,60.44,18.17,Carrot
6.78,1.33,73.6,33.93,272.22,77.12,21.83,Carrot
6.76,2.06,67.94,50.74,296.29,55.38,17.11,Carrot
6.72,1.38,59.38,53.87,175.62,53.81,16.01,Carrot
6.35,1.34,71.12,56.7,153.54,60.15,18.68,Carrot
6.15,1.39,55.57,36.67,283.05,60.95,21.09,Carrot
6.6,2.2,76.28,55.3,263.19,67.55,22.44,Carrot
6.2,1.38,52.79,30.74,202.8,77.48,19.42,Carrot
6.12,2.46,94.38,40.82,263.19,58.18,20.27,Carrot
6.59,2.35,64.43,41.14,202.22,71.06,22.85,Carrot
6.59,1.46,76.69,49.35,165.56,71.6,19.35,Carrot
6.39,2.42,92.5,43.84,291.78,51.52,19.05,Carrot
6.19,2.0,87.98,39.51,246.59,69.79,17.88,Carrot
6.16,1.2,85.95,46.99,279.31,71.45,21.0,Carrot
6.28,2.39,89.8,53.52,225.33,63.72,17.52,Carrot
6.03,1.31,73.14,38.62,246.44,63.01,23.27,Carrot
6.17,1.97,73.09,44.96,225.53,76.03,23.28,Carrot
6.35,2.21,59.89,38.06,227.88,78.65,19.75,Carrot
6.78,1.78,90.91,32.99,257.89,66.1,17.77,Carrot
6.54,1.22,87.77,41.94,291.63,72.04,23.86,Carrot
6.47,2.41,70.99,58.56,171.31,64.57,22.9,Carrot
6.19,1.03,61.29,59.22,197.94,78.38,22.23,Carrot
6.28,1.1,54.66,58.67,198.55,63.95,23.54,Carrot
6.25,2.04,67.59,38.85,249.83,75.46,20.12,Carrot
6.13,1.18,74.55,42.22,191.93,55.17,19.85,Carrot
6.36,1.05,53.23,51.29,286.15,62.83,20.67,Carrot
6.4,1.37,63.38,54.79,158.03,71.94,16.12,Carrot
6.21,1.06,61.41,57.57,221.05,73.84,21.1,Carrot
6.54,1.94,60.06,57.79,250.85,51.81,18.12,Carrot
6.02,1.21,92.18,55.33,242.61,77.13,20.36,Carrot
6.41,1.37,76.73,34.45,289.19,58.06,17.06,Carrot
6.51,2.46,60.75,57.16,295.08,71.61,22.45,Carrot
